ファイル名,内容
fish_sardine.png,イワシの小魚の群れを代表する一匹。銀色に輝く細身の魚。
fish_mackerel.png,サバ。青緑の縞模様を持つ中型の回遊魚。
fish_bonito.png,カツオ。流線型で力強い大型の回遊魚。
fish_squid.png,イカ。半透明で長い触腕を持つ頭足類。
fish_octopus.png,タコ。赤みがかった体色で多くの触腕を広げる頭足類。
fish_grouper.png,クエ。重厚で斑模様の高級大型魚。希少感のある気品。
mob_narwhal.png,ユニコーンと呼ばれるイッカク。長い一本の角を持つ白い海獣。
mob_seahunter.png,シーハンターと呼ばれるシャチ。黒と白の精悍な海の捕食者。
mob_ornithocheirus.png,オルニケイトスという小型の翼竜。海上を滑空する翼を持つ飛行生物。
mob_wyrm.png,ワイアームという幼い竜。蛇のような体に小さな翼、口から火花。
pirate_raider.png,小型の海賊船。ボロボロの帆と簡素な砲を備えた襤褸船。横向き。
pirate_corsair.png,中型の海賊船。複数の帆と砲門を備えた武装帆船。横向き。
pirate_dread.png,大型の海賊船。重武装で禍々しい黒い旗艦。横向き。
lord_sawshark.png,電動ノコギリザメ。旧文明の狂気が生んだ巨大な機械混じりの鋸鮫。悲しき怪物。
lord_dumbo.png,ウミダンボ。海に適応した巨大な象。大きな耳をひれのように広げて泳ぐ。
lord_whale.png,ヒゲマッコウナガスクジラ。富栄養化で体長50mに達した巨大な髭鯨。
lord_walrus.png,ギガントセイウチ。巨大な牙を持つ番いのセイウチ。威厳ある海獣。
lord_hydra.png,ヒュドラ。旧文明が神を作る過程で生まれた失敗作。複数の首から炎を吐く海蛇。
lord_quetzal.png,ケツァルコアトル。羽毛を持つ巨大な飛竜。空から海を襲う旧文明の創造物。
lord_leviathan.png,レヴィアタン。人類種の天敵たる神。津波を起こす超巨大な海の怪物。畏怖。
mob_kraken.png,クラーケン。海面に進出してきた巨大なダイオウイカの怪物。長い触腕を四方に伸ばし濃い赤紫の体色。威圧的で強大。
mob_wyvern.png,ワイバーン。海竜ワイアームが成長した強化形態。深紅の鱗と鋭い翼状のひれを持つ蛇型の海竜。口から火球を吐きそうな凶暴さ。
mob_merman.png,マーマン。人類がバイオテクノロジーで海に適応した成れの果ての半魚人。鱗に覆われた人型で鋭い爪と魚の頭部。群れで襲う獰猛さ。
mob_charybdis.png,カリュブディス。海面に見える巨大な渦潮とその中心からわずかに覗く蛇のような海魔の頭部。渦を巻く海水と不気味な深淵。
mob_tiamat.png,ティアマット。由来不明の空中を舞う竜の女王。漆黒と金の鱗を持つ翼の生えた巨大なドラゴン。神話的な威容。
mob_dagon.png,ダゴン。ヒトとタコを掛け合わせたような姿の異形の神。緑がかった粘液質の体で触腕を伸ばす。旧支配者風の不気味さ。
pirate_king.png,海賊王の大型武装船。黒い船体に赤い帆、衝角と大砲とガトリング砲を備えた威圧的な海賊旗艦。ドクロの旗。
mob_narwhal_front.png,ユニコーンと呼ばれるイッカク。長い一本の角を持つ白い海獣。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_narwhal_back.png,ユニコーンと呼ばれるイッカク。長い一本の角を持つ白い海獣。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_seahunter_front.png,シーハンターと呼ばれるシャチ。黒と白の精悍な海の捕食者。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_seahunter_back.png,シーハンターと呼ばれるシャチ。黒と白の精悍な海の捕食者。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_ornithocheirus_front.png,オルニケイトスという小型の翼竜。海上を滑空する翼を持つ飛行生物。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_ornithocheirus_back.png,オルニケイトスという小型の翼竜。海上を滑空する翼を持つ飛行生物。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_wyrm_front.png,ワイアームという幼い竜。蛇のような体に小さな翼、口から火花。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_wyrm_back.png,ワイアームという幼い竜。蛇のような体に小さな翼、口から火花。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_sawshark_front.png,電動ノコギリザメ。旧文明の狂気が生んだ巨大な機械混じりの鋸鮫。悲しき怪物。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_sawshark_back.png,電動ノコギリザメ。旧文明の狂気が生んだ巨大な機械混じりの鋸鮫。悲しき怪物。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_dumbo_front.png,ウミダンボ。海に適応した巨大な象。大きな耳をひれのように広げて泳ぐ。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_dumbo_back.png,ウミダンボ。海に適応した巨大な象。大きな耳をひれのように広げて泳ぐ。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_whale_front.png,ヒゲマッコウナガスクジラ。富栄養化で体長50mに達した巨大な髭鯨。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_whale_back.png,ヒゲマッコウナガスクジラ。富栄養化で体長50mに達した巨大な髭鯨。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_walrus_front.png,ギガントセイウチ。巨大な牙を持つ番いのセイウチ。威厳ある海獣。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_walrus_back.png,ギガントセイウチ。巨大な牙を持つ番いのセイウチ。威厳ある海獣。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_hydra_front.png,ヒュドラ。旧文明が神を作る過程で生まれた失敗作。複数の首から炎を吐く海蛇。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_hydra_back.png,ヒュドラ。旧文明が神を作る過程で生まれた失敗作。複数の首から炎を吐く海蛇。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_quetzal_front.png,ケツァルコアトル。羽毛を持つ巨大な飛竜。空から海を襲う旧文明の創造物。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_quetzal_back.png,ケツァルコアトル。羽毛を持つ巨大な飛竜。空から海を襲う旧文明の創造物。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
lord_leviathan_front.png,レヴィアタン。人類種の天敵たる神。津波を起こす超巨大な海の怪物。畏怖。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
lord_leviathan_back.png,レヴィアタン。人類種の天敵たる神。津波を起こす超巨大な海の怪物。畏怖。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_kraken_front.png,クラーケン。海面に進出してきた巨大なダイオウイカの怪物。長い触腕を四方に伸ばし濃い赤紫の体色。威圧的で強大。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
mob_kraken_back.png,クラーケン。海面に進出してきた巨大なダイオウイカの怪物。長い触腕を四方に伸ばし濃い赤紫の体色。威圧的で強大。同一キャラクターの真後ろからの全身像(後ろ姿・背中がこちらを向いている構図)。
mob_wyvern_front.png,ワイバーン。海竜ワイアームが成長した強化形態。深紅の鱗と鋭い翼状のひれを持つ蛇型の海竜。口から火球を吐きそうな凶暴さ。同一キャラクターの正面からの全身像(顔がこちらを向いている構図)。
